type,urd_roc,urd_pr,tranad_roc,tranad_pr
drop,0.9295207594424739,0.21507657929113197,0.9136847815941759,0.2311304642060147
noise_burst,0.8108368785728207,0.3605723625835835,0.7911966931118468,0.29461330193923596
persistent_offset,0.9480977161091786,0.5747770373074372,0.9368004990063005,0.5301846934791739
sensor_freeze,0.8229521693668327,0.4467276517426472,0.4620668894698491,0.03624075369032102
spike,0.9279742367203867,0.27979241350498146,0.9143384564329123,0.22419078559428132
OVERALL,0.8636077479282918,0.4250253867140306,0.7379250710711627,0.24754168942589208
