model,test_mse,test_mae,mean_sigma
gaussian_gru,0.3609377145767212,0.4656059145927429,0.5115928649902344
tranad,0.4739464521408081,0.5301967263221741,1.0
gaussian_lstm,0.4707980751991272,0.5183826684951782,0.5100041627883911
deterministic_gru,0.3670569658279419,0.46897438168525696,1.0
deterministic_lstm,0.4434237480163574,0.5060551762580872,1.0
ridge,0.35039278864860535,0.46057456731796265,
naive,0.5406550168991089,0.569848895072937,
