model,accuracy,drift_as_anomaly_rate,anomaly_as_drift_rate
logistic_regression_NoProbabilistic_9feat,0.8091922005571031,0.17916666666666667,0.20251396648044692
logistic_regression_Original_12feat,0.8126740947075209,0.21944444444444444,0.15502793296089384
logistic_regression_URD_16feat,0.9129526462395543,0.09166666666666666,0.0824022346368715
random_forest_NoProbabilistic_9feat,0.9066852367688022,0.08333333333333333,0.10335195530726257
random_forest_Original_12feat,0.9213091922005571,0.05416666666666667,0.10335195530726257
random_forest_URD_16feat,0.9547353760445683,0.029166666666666667,0.061452513966480445
xgboost_NoProbabilistic_9feat,0.9094707520891365,0.08611111111111111,0.09497206703910614
xgboost_Original_12feat,0.9122562674094707,0.07916666666666666,0.09636871508379888
xgboost_URD_16feat,0.9512534818941504,0.044444444444444446,0.05307262569832402
