class,precision,recall,f1,support
drift,0.9108527131782945,0.9791666666666666,0.9437751004016064,240.0
noise_anomaly,0.8333333333333334,0.75,0.7894736842105263,60.0
persistent_shift,0.85,0.85,0.85,60.0
point_anomaly,0.8867924528301887,0.7833333333333333,0.831858407079646,60.0
sensor_malfunction,0.9818181818181818,0.9,0.9391304347826087,60.0
ACCURACY,0.9,,,
