type,NLL,D+Conformity,D+Variance,D+FDE,URD (baseline),TranAD,IForest
drop,0.4599225405155098,0.4653832394281119,0.46599586629249506,0.3399510497031969,0.21507657929113197,0.2311304642060147,0.013490269872782958
noise_burst,0.45699538988427346,0.4616621410603804,0.46041997951268243,0.4014499147077285,0.3605723625835835,0.29461330193923596,0.0890573720276992
persistent_offset,0.7133809742172753,0.7156081926219313,0.7160701631308255,0.6396633103627186,0.5747770373074372,0.5301846934791739,0.12076681222930566
sensor_freeze,0.03466875669541356,0.04351106325379234,0.12515334361304375,0.290277496123957,0.4467276517426472,0.03624075369032102,0.03526024648510074
spike,0.5039480872257722,0.5132389206385282,0.5131521225852305,0.36914086796878204,0.27979241350498146,0.22419078559428132,0.014896778083704963
