method,threshold,precision,recall,f1,event_precision,event_recall,event_f1,delay,false_alarms_per_1000
URD,0.6606942565825663,0.12979695971085362,0.7793202489229296,0.2225310399817747,0.0716973351889078,0.9664804469273743,0.1334917270443301,0.6840077071290944,180.11298316253843
URD,0.6921848660811133,0.13225279215472624,0.774692835487474,0.22593480233613328,0.07375489055725917,0.9664804469273743,0.13705102493677288,0.7042389210019268,175.22291346941918
URD,0.7191065625666737,0.13515327813828598,0.7710228179352162,0.22999119445964922,0.07545641136437291,0.9646182495344506,0.1399642433045167,0.7162162162162162,170.07981429836576
URD,0.7339823173138734,0.13816960440948498,0.7679910643050901,0.23420354735894502,0.07745228584110075,0.962756052141527,0.14337061956325248,0.7272727272727273,165.13473819699996
URD,0.7561951106031095,0.14115736640094478,0.7628849529280357,0.23823404838428383,0.07973327254075002,0.9590316573556797,0.14722624977100784,0.7427184466019418,160.0081409484205
URD,0.7765837256067246,0.14472764832761187,0.7601723312589755,0.24316047366271948,0.08214202015467542,0.9590316573556797,0.15132306824323943,0.7514563106796116,154.85954113654242
URD,0.798766460849046,0.14770596324540566,0.7541088239987235,0.24702715416982463,0.08460933244568178,0.9581005586592178,0.15548763731030132,0.7706511175898931,150.0024752883711
URD,0.8297568722890009,0.15133253842931263,0.749321844582735,0.25180974851198457,0.08677071720549981,0.9553072625698324,0.15909115811597593,0.7846003898635477,144.85937611731768
URD,0.849019583309907,0.1551787077290678,0.746130524972076,0.2569230769230769,0.08883248730964467,0.9543761638733705,0.16253624501631025,0.7980487804878049,140.02981347326963
URD,0.8695310398527717,0.15965694682675816,0.7426200734003511,0.26281164412570235,0.0927943993131233,0.9534450651769087,0.1691283211999233,0.8037109375,134.74369764077514
URD,0.8907123771918881,0.1641261963842609,0.7387904898675602,0.268584853670563,0.0949358541525996,0.9506517690875232,0.17263199313765684,0.8109696376101861,129.7051106453902
URD,0.9289638889229789,0.16872020535386872,0.7341630764321047,0.2743835167128843,0.09869345321719585,0.946927374301676,0.17875606540371408,0.823992133726647,124.69402685412851
URD,0.9587388088899115,0.1735019366598314,0.7290569650550502,0.28029815036348577,0.10164736349902885,0.9459962756052142,0.1835701066774725,0.8356299212598425,119.72144754863942
URD,0.9813535214195372,0.17907040812310598,0.7260252114249242,0.28728374794797323,0.10651335199334291,0.9450651769087524,0.19144943925363225,0.858128078817734,114.73786696150101
URD,1.0117783529646318,0.18476439576607134,0.7213977979894687,0.2941827173347215,0.10970858656693158,0.9413407821229051,0.19651439744119117,0.8684470820969338,109.72678317023933
URD,1.0515266265917331,0.19077577045696067,0.7161321206318813,0.3012889366272825,0.11332904056664521,0.9413407821229051,0.2023026456037069,0.8882294757665677,104.71569937897765
URD,1.0830968491314534,0.1974451909476662,0.7127812350406894,0.30923124848568756,0.11552376253905608,0.9385474860335196,0.20572525254814222,0.9017857142857143,99.87513545328031
URD,1.1518721469947277,0.2033271719038817,0.7020903143449817,0.31533307055577453,0.1205630883495984,0.9338919925512105,0.21355656555943048,0.9551345962113659,94.83104781707068
URD,1.1904938427400829,0.20993140759346923,0.6934737513962024,0.32229596944640143,0.1254048218783735,0.9320297951582868,0.22106526221868478,0.981018981018981,89.96848132807472
URD,1.2429312612634833,0.217169420443636,0.6858145843306207,0.3298794995778648,0.13331427482370878,0.931098696461825,0.23323418796408227,1.001,85.22142829639652
URD,1.2966959646526832,0.22575677110993095,0.678314983245572,0.33876558951269076,0.1393188854489164,0.9283054003724395,0.24227712961137918,1.0270812437311936,80.19384258266088
