type,NLL,D+Conformity,D+Variance,D+FDE,URD (baseline),TranAD,IForest
drop,0.9396013523323585,0.9393278265198184,0.9406504080849563,0.9377667200754983,0.9295207594424739,0.9136847815941759,0.8027904818202559
noise_burst,0.8173172882624554,0.8124085463654932,0.8114243611283328,0.815204959999174,0.8108368785728207,0.7911966931118468,0.7465264035759527
persistent_offset,0.9602927293434257,0.9579244533015066,0.9564624996176798,0.9555825053151532,0.9480977161091786,0.9368004990063005,0.8471927315249406
sensor_freeze,0.43980180297499805,0.5033690308017156,0.5634636141886847,0.6851343016706686,0.8229521693668327,0.4620668894698491,0.44840121314439974
spike,0.9487090489079709,0.9467016805633335,0.9465720474768217,0.9408187690560638,0.9279742367203867,0.9143384564329123,0.8229944465185739
OVERALL,0.747729136533444,0.7662300995787407,0.7848546234126781,0.8239981200429923,0.8636077479282918,0.7379250710711627,0.686614971895223
